Gene,Condition,Sample,Real_Number
PPARD,NSG_WT,NSG WT Gastro 1 #1,0.7954683426477 
PPARD,NSG_WT,NSG WT Gastro 1 #1,1.1677171125584 
PPARD,NSG_WT,NSG WT Gastro 1 #1,1.0765630123978 
PPARD,NSG_WT,NSG WT Gastro 4 #1,1.0069049019470 
PPARD,NSG_WT,NSG WT Gastro 4 #1,0.8528139563637 
PPARD,NSG_WT,NSG WT Gastro 4 #1,1.1645476030979 
PPARD,SKRC39,SKRC Left Gastro,4.9324858399179 
PPARD,SKRC39,SKRC Left Gastro,3.8034660862408 
PPARD,SKRC39,SKRC Left Gastro,4.0155447693475 
PPARD,SKRC39,SKRC Right Gastro,2.2382648008457 
PPARD,SKRC39,SKRC Right Gastro,3.5301132945784 
PPARD,SKRC39,SKRC Right Gastro,2.2614199074044 
PPARD,RXF393,RXF Left Gastro 2,0.35466569900630 
PPARD,RXF393,RXF Left Gastro 2,0.56872797137363 
PPARD,RXF393,RXF Left Gastro 2,0.31254684962335 
PPARD,RXF393,RXF Right Gastro 2,0.89763375983044 
PPARD,RXF393,RXF Right Gastro 2,0.59469087975362 
PPARD,RXF393,RXF Right Gastro 2,0.78480352700749 
RAR-A,NSG_WT,NSG WT Gastro 1 #1,1.0244868787420 
RAR-A,NSG_WT,NSG WT Gastro 1 #1,1.0642194149988 
RAR-A,NSG_WT,NSG WT Gastro 1 #1,0.9171965697653 
RAR-A,NSG_WT,NSG WT Gastro 4 #1,0.8832058314273 
RAR-A,NSG_WT,NSG WT Gastro 4 #1,0.9170952872471 
RAR-A,NSG_WT,NSG WT Gastro 4 #1,1.2345924320206 
RAR-A,SKRC39,SKRC Left Gastro,4.1017836266989 
RAR-A,SKRC39,SKRC Left Gastro,3.8004878871128 
RAR-A,SKRC39,SKRC Left Gastro,4.8366845179678 
RAR-A,SKRC39,SKRC Right Gastro,2.7519259330895 
RAR-A,SKRC39,SKRC Right Gastro,3.2927022942104 
RAR-A,SKRC39,SKRC Right Gastro,2.1769881324461 
RAR-A,RXF393,RXF Left Gastro 2,0.24044786452895 
