# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "miRNA" "-g" "ID" "-F" "GFF" "-a" "/home/marianaurera/capstone/hsa.gff3" "-T" "4" "-s" "1" "-o" "/home/marianaurera/capstone/aligned/kidney_counts_newtry.txt" "RXF393_1_sorted.bam" "RXF393_2_sorted.bam" "SKRC39_1_sorted.bam" "SKRC39_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RXF393_1_sorted.bam	RXF393_2_sorted.bam	SKRC39_1_sorted.bam	SKRC39_2_sorted.bam
MIMAT0027618	chr1	17409	17431	-	23	0	0	0	0
MIMAT0027619	chr1	17369	17391	-	23	0	0	0	0
MIMAT0005890	chr1	30438	30458	+	21	0	0	0	0
MIMAT0027618_1	chr1	187931	187953	-	23	0	0	0	0
MIMAT0027619_1	chr1	187891	187913	-	23	0	0	0	0
MIMAT0049032	chr1	632668	632685	-	18	602	565	4084	6341
MIMAT0004571	chr1	1167124	1167145	+	22	126	41	0	1
MIMAT0000318	chr1	1167160	1167181	+	22	4884	3865	7	732
MIMAT0001620	chr1	1167878	1167899	+	22	294	115	0	0
MIMAT0000682	chr1	1167916	1167937	+	22	3370	2579	20	1061
MIMAT0001536	chr1	1169055	1169076	+	22	4441	4400	8	9
MIMAT0027353	chr1	1296145	1296165	-	21	0	0	0	0
MIMAT0027354	chr1	1296110	1296129	-	20	0	0	0	0
MIMAT0027355	chr1	1312539	1312561	-	23	0	0	0	0
MIMAT0027356	chr1	1312502	1312521	-	20	0	0	0	0
MIMAT0027516	chr1	1339682	1339703	-	22	0	0	0	0
MIMAT0027517	chr1	1339650	1339670	-	21	0	39	0	1
MIMAT0016883	chr1	3128009	3128025	+	17	0	0	0	0
MIMAT0003214	chr1	3560710	3560730	-	21	0	0	0	0
MIMAT0019778	chr1	5862711	5862732	-	22	0	0	0	0
MIMAT0016886	chr1	6429844	6429862	-	19	0	0	0	0
MIMAT0027357	chr1	8866563	8866585	-	23	0	0	0	0
MIMAT0027358	chr1	8866502	8866522	-	21	0	19	0	0
MIMAT0000255	chr1	9151735	9151756	-	22	18326	36794	515	1797
MIMAT0004557	chr1	9151693	9151714	-	22	0	0	0	0
MIMAT0022490	chr1	9967390	9967411	+	22	0	71	0	0
MIMAT0027359	chr1	12029163	12029184	+	22	0	0	0	0
MIMAT0027360	chr1	12029202	12029222	+	21	0	0	0	0
MIMAT0030421	chr1	12167010	12167030	+	21	0	0	0	0
MIMAT0019688	chr1	12191752	12191773	+	22	0	0	0	0
MIMAT0022977	chr1	12191713	12191735	+	23	0	0	0	0
MIMAT0027361	chr1	12578996	12579018	-	23	0	0	0	0
MIMAT0027362	chr1	12578958	12578979	-	22	0	0	0	0
MIMAT0018098	chr1	16858988	16859010	-	23	0	0	0	0
MIMAT0018099	chr1	16858958	16858979	-	22	0	0	0	0
MIMAT0019357	chr1	17277948	17277969	+	22	0	0	0	0
MIMAT0019788	chr1	18883250	18883271	-	22	0	0	0	0
MIMAT0019789	chr1	18883204	18883225	-	22	0	0	0	0
MIMAT0005880	chr1	18897078	18897096	-	19	0	0	0	1
MIMAT0023709	chr1	20633756	20633775	+	20	0	0	0	0
MIMAT0005907	chr1	20988377	20988398	-	22	0	0	0	0
MIMAT0018930	chr1	22266277	22266294	+	18	0	0	0	0
MIMAT0024610	chr1	22633328	22633346	-	19	0	0	0	0
MIMAT0019769	chr1	22719530	22719551	+	22	0	0	0	0
MIMAT0019770	chr1	22719566	22719587	+	22	18	0	0	0
MIMAT0016882	chr1	22863169	22863186	-	18	0	0	0	0
MIMAT0014977	chr1	23044310	23044329	+	20	47	61	0	0
MIMAT0018932	chr1	23929121	23929140	+	20	0	0	0	0
MIMAT0027363	chr1	24919390	24919411	-	22	0	0	0	0
MIMAT0027364	chr1	24919345	24919365	-	21	0	0	0	0
MIMAT0018940	chr1	25023552	25023573	+	22	0	0	0	0
MIMAT0018191	chr1	25906384	25906403	-	20	42	0	0	0
MIMAT0009451	chr1	26554574	26554593	+	20	12	0	0	0
MIMAT0018933	chr1	30739158	30739179	-	22	0	0	0	0
MIMAT0016884	chr1	31758670	31758692	-	23	0	0	0	0
MIMAT0022285	chr1	32086949	32086970	+	22	0	0	0	0
MIMAT0022286	chr1	32086986	32087007	+	22	0	0	0	0
MIMAT0017981	chr1	33332449	33332471	-	23	216	78	0	0
MIMAT0017982	chr1	33332405	33332427	-	23	85	120	265	1072
MIMAT0003215	chr1	34669614	34669634	-	21	0	0	0	0
MIMAT0026615	chr1	34669650	34669670	-	21	26	0	0	0
MIMAT0016885	chr1	37161573	37161589	+	17	0	0	0	0
MIMAT0027365	chr1	37480235	37480254	+	20	0	0	0	0
MIMAT0027366	chr1	37480267	37480289	+	23	0	0	0	0
MIMAT0022275	chr1	37500973	37500994	-	22	0	0	0	0
MIMAT0022276	chr1	37500935	37500956	-	22	25	64	0	0
MIMAT0018080	chr1	38089289	38089309	+	21	0	0	0	0
MIMAT0000692	chr1	40754371	40754392	+	22	24	4	0	755
MIMAT0000693	chr1	40754413	40754434	+	22	4391	3765	546	469
MIMAT0000244	chr1	40757300	40757322	+	23	2111	1775	35	35
MIMAT0004674	chr1	40757339	40757360	+	22	1	2	0	1
MIMAT0027367	chr1	43171686	43171707	-	22	0	0	0	0
MIMAT0027368	chr1	43171652	43171671	-	20	0	0	0	0
MIMAT0027369	chr1	43364688	43364710	-	23	0	0	0	0
MIMAT0027370	chr1	43364648	43364670	-	23	0	0	0	0
MIMAT0027371	chr1	43448544	43448568	+	25	0	0	0	0
MIMAT0027372	chr1	43448590	43448611	+	22	0	0	0	0
MIMAT0023704	chr1	43838657	43838680	+	24	0	0	0	0
MIMAT0022283	chr1	44545493	44545514	+	22	0	0	0	0
MIMAT0022284	chr1	44545531	44545552	+	22	0	0	0	0
MIMAT0018934	chr1	51059879	51059900	+	22	0	0	0	0
MIMAT0025454	chr1	51060031	51060054	+	24	0	0	0	0
MIMAT0025455	chr1	51060072	51060092	+	21	0	0	0	0
